adult-education-locations,,,,,,,,,,,
Longitude,Latitude,County,Location,Program,Address,City,Zip Code,Phone,Email,Website,Hours of Operation
-86.556512,39.161825,Monroe,MCCSC Adult Education,WorkOne Bloomington,450 S. Landmark Avenue,Bloomington,47403,(812) 330-7731,rmoore@mccsc.edu,http://www.mccsc.edu/adulted,M/T/TH 9AM-11:30AM
-86.548348,39.175263,Monroe,MCCSC Adult Education,Crestmont/BHA Community Class,1007 N Summit Street,Bloomington,47401,(812) 330-7731,rmoore@mccsc.edu,http://www.mccsc.edu/adulted,M-W 12PM-3PM
-86.617443,38.54943,Orange,Vincennes University Adult Education,Spring Valley Learning Center,479 S. Larry Bird Blvd,French Lick,47432,(812) 936-4466,Vickiconrad@ymail.com,http://www.vinu.edu/adult-basic-education,T 3PM-6PM
-86.472262,38.57145,Orange,Vincennes University Adult Education,Paoli WorkOne Express,1075 N. Sandy Hook Rd.,Paoli,47454,(812) 888-5299,Vickiconrad@ymail.com,http://www.vinu.edu/adult-basic-education,"M-TH 9AM-12AM,M/TH 1PM-4PM, W 2PM-5PM"
-86.763616,39.285693,Owen,Owen County Adult Education,Owen County Public Library,10 S. Montgomery St.,Spencer,47460,(812) 829-3392,rcarver@socs.k12.in.us,www.owenlib.org,M-F 8AM to 4:30PM
-86.669428,39.35164,Owen,Owen County Adult Education,Gosport Community Center,301 N 9th Street,Gosport,47433,(812)829-3392,rcarver@socs.k12.in.us,www.owenlib.org,T/W 12:30PM-3:30PM
-85.892931,39.201549,Bartholomew,McDowell Adult Education Center,McDowell Education Center,2700 McKinley Av.,Columbus,47201,(812) 376-4451,,http://www.mcdowelledu.org/adult-education.html,M-F 8AM to 3:30PM
-85.908379,39.211601,Bartholomew,McDowell Adult Education Center,Sans Souci,1526 13th St,Columbus,47201,(812)372-3419,,http://www.mcdowelledu.org/adult-education.html,
-85.908287,39.211302,Bartholomew,McDowell Adult Education Center,Su Casa Columbus,1531 13th St. # G110,Columbus,47201,(812)375-9370,,http://www.mcdowelledu.org/adult-education.html,
-85.379946,38.734915,Dearborn,"River Valley Resources, INC.","River Valley Resources, Inc.","100 E. Second St., Suite E",Madison,47250,(855) 591-7849,,http://rivervalleyresources.com/,M-F 8:30AM to 4:30PM
-85.479225,39.340069,Decatur,McDowell Adult Education Center,Greensburg Learning Center,422 E. Central Av.,Greensburg,47201,(812) 593-9070,,http://www.mcdowelledu.org/adult-education.html,M/TH 8AM-4PM
-85.379946,38.734915,Franklin,"River Valley Resources, INC.","River Valley Resources, Inc.","100 E. Second St., Suite E",Madison,47250,(855) 591-7849,,http://rivervalleyresources.com/,M-F 8:30AM to 4:30PM
-85.859662,38.959734,Jackson,McDowell Adult Education Center,Jackson County Learning Center,323 DuPont Dr.,Seymour,47274,(812) 512-2923,,http://www.mcdowelledu.org/adult-education.html,M-F 8:30AM-3:30PM
-85.379946,38.734915,Jefferson,"River Valley Resources, INC.","River Valley Resources, Inc.","100 E. Second St., Suite E",Madison,47250,(855) 591-7849,,http://rivervalleyresources.com/,M-F 8:30AM to 4:30PM
-85.621215,39.000057,Jennings,Jennings County Education Center,Jennings County Education Center,100 S. Webster St.,North Vernon,47265,(812) 346-2905,,http://www.jsc.org/education/school/school.php?sectiondetailid=97,M-F 8AM to 3:30PM
-84.849231,38.955148,Ohio,"River Valley Resources, INC.",Education Center of Rising Sun,591 Smart Dr,Rising Sun,47040,(855) 591-7849,,http://rivervalleyresources.com/,M-F 8:30AM to 4:30PM
-85.379946,38.734915,Ripley,"River Valley Resources, INC.","River Valley Resources, Inc.","100 E. Second St., Suite E",Madison,47250,(855) 591-7849,,http://rivervalleyresources.com/,M-F 8:30AM to 4:30PM
-85.379946,38.734915,Switzerland,"River Valley Resources, INC.","River Valley Resources, Inc.","100 E. Second St., Suite E",Madison,47250,(855) 591-7849,,http://rivervalleyresources.com/,M-F 8:30AM to 4:30PM
-85.765355,38.389357,Clark,Region 10 Adult Education,Ivy Tech Community College,8204 Indiana 311,Sellersburg,47172,(812) 218-1669,kjeakins@rivervalleyresources.com,http://region10adulted.wix.com/region10adulted#!clark/c2k2,M-TH 9AM to 2:30PM
-85.741029,38.275182,Clark,Region 10 Adult Education,Jeffersonville Township Public Library,211 East Court Av.,Jeffersonville,47130,(812) 981-3777,srice@rivervalleyresources.com,http://region10adulted.wix.com/region10adulted#!clark/c2k2,M-TH 9AM to 12:30PM  T/W/TH 4:45PM to 7:45PM
-85.721511,38.28909,Clark,Region 10 Adult Education,Community Action of Southern Indiana,1613 East Eighth St.,Jeffersonville,47130,(812) 288-6451 ext. 2220 or (812) 981-3777,pstilwell@rivervalleyresources.com,http://region10adulted.wix.com/region10adulted#!clark/c2k2,M-TH 8:30AM to 2:30PM
-85.666827,38.455743,Clark,Region 10 Adult Education,Charlestown High School,1 Pirate Place,Charlestown,47111,(812) 256-3328 ext. 11202 or (812) 981-3777,mwebb@rivervalleyresources.com,http://region10adulted.wix.com/region10adulted#!clark/c2k2,M-W 5PM to 8PM
-85.737319,38.276833,Clark,Region 10 Adult Education,Clark County Jail,501 E court Ave,Jeffersonville,47130,(812) 218-1669,tdavis@rivervalleyresources.com,http://region10adulted.wix.com/region10adulted#!clark/c2k2,T/W/TH 9:00AM to 4:30PM M-TH 4:30PM to 8PM & M-TH 8:30AM to 12:00PM
-85.748361,38.321603,Clark,Region 10 Adult Education,Hispanic Connections,1410 Charlestown-New Albany Road Suite 101,Jeffersonville,47130,,srekuch@rivervalleyresources.com,http://region10adulted.wix.com/region10adulted#!clark/c2k2,M-TH 9:00 AM to 2:00 PM
-85.825555,38.298869,Floyd,Region 10 Adult Education,New Albany Housing Authority,215 Erni Av.,New Albany,47150,(812) 207-2664 or (812) 981-3777,region10adulteducation@gmail.com,http://region10adulted#!floyd/c15j8,M-TH 9:00 AM to 2:30PM
-85.80838,38.292409,Floyd,Region 10 Adult Education,The Reisz Center,1613 East Spring St.,New Albany,47150,(812) 981-3777,region10adulteducation@gmail.com,http://region10adulted.wix.com/region10adulted#!floyd/c15j8,T-TH 5:30PM to 8:30PM
-86.129782,38.211897,Harrison,Region 10 Adult Education,Harrison County Lifelong Learning Center,"101 W. Hwy. 62, Suite 104",Corydon,47112,(812) 738-7736 or (812) 981-3777,region10adulteducation@gmail.com,http://region10adulted#!harrison/c16sl,M-TH 8:30AM to 2:15PM & T/W 5:00PM to 8:00PM
-85.796259,38.703234,Scott,Region 10 Adult Education,Scott County Life Long Learning Center,1092 Community Way,Scottsburg,47170,(812) 752-6438 or (812) 981-3777,region10adulteducation@gmail.com,http://region10adulted.wix.com/region10adulted#!scott/cicd,M-TH 9AM to 3PM
-86.107758,38.622863,Washington,Region 10 Adult Education,Community Learning Center of Washington County,1707 N. Shelby St.,Salem,47167,(812) 883-6989 or (812) 981-3777,region10adulteducation@gmail.com,http://region10adulted.wix.com/region10adulted#!properties/ctzx,M-TH 9AM to 12PM
-86.931077,38.395202,Dubois,Vincennes University Adult Education,Jasper Library Annex,1103 Main St.,Jasper,47576,(812) 431-6898,LKBell@Vinu.edu,https://my.vinu.edu/web/admissions/adult-basic-education.,T/TH 6PM-9PM
-86.952811,38.295855,Dubois,Vincennes University Adult Education,Ava Maria Center,511 E. 4th St.,Huntingburg,47542,(812)686-2847,LKBell@Vinu.edu,https://my.vinu.edu/web/admissions/adult-basic-education.,"M/TH 9AM-12PM, 12:30PM-3:30PM, 6PM-8:30PM"
-86.90365,38.375754,Dubois,Vincennes University Adult Education,Vincennes University Jasper Campus,850 College Av.,Jasper,47546,(812) 888-5135,LKBell@Vinu.edu,https://my.vinu.edu/web/admissions/adult-basic-education.,"M/W 2PM-4:30PM, 5PM-8PM"
-87.569013,38.355086,Gibson,Vincennes University Adult Education,WorkOne Southwest Princeton,107 S. Hart St.,Princeton,47670,(812) 888-5135,LKBell@Vinu.edu,https://my.vinu.edu/web/admissions/adult-basic-education.,"M-TH 1PM-4PM,M/W 5PM-8PM"
-87.3467,38.33658,Gibson,Oakland City Columbia Town Library,Oakland Columbia Town Library,201 S Main,Oakland City,47660,(812) 837-2671,,,"By Phone: M-TH 9AM to 3PM, F - Hours vary, or leave message"
-87.521268,38.683397,Knox,Vincennes University Adult Education,Vincennes University Community Services,"1019 N 4th St., Room 205",Vincennes,47591,(812) 888-5135,LKBell@Vinu.edu,https://my.vinu.edu/web/admissions/adult-basic-education.,"M/W 9AM-12PM,T/TH 1PM-4PM M/W 5:30PM-8:30PM"
-87.315196,38.780132,Knox,North Knox Alternative School,North Knox Alternative School,525 W 11th St.,Bicknell,47512,(812) 735-0026,,http://www.nknox.k12.in.us/,M-F 8AM to 11AM & 12PM to 3PM
-86.739624,37.955213,Perry,Vincennes University Adult Education,Schergens Center,1140 31st st.,Tell City,47586,(812) 660-0498,LKBell@Vinu.edu,https://my.vinu.edu/web/admissions/adult-basic-education.,M/W 9AM-12PM M-TH 12:30PM-3:30PM
-86.739323,37.955335,Perry,Ivy Tech Southwest,Ivy Tech Southwest,1034 31st St.,Tell City,,428-4408,,,"By Phone: M-TH 9AM to 3PM, F - Hours vary, or leave message"
-87.27474,38.490476,Pike,Vincennes University Adult Education,Petersburg Library,1008 E. Maple St.,Petersburg,47567,(812)480-4928,LKBell@Vinu.edu,https://my.vinu.edu/web/admissions/adult-basic-education.,"TH 1PM-4PM, 5PM-7PM"
-87.277949,38.491386,Pike,Pike County Adult Education,Pike County Alternative School,907 Walnut St.,Petersburg,47567,(812) 354-8731,,http://www.pcsc.k12.in.us/,M-F 8AM to 3PM
-87.893072,37.936118,Posey,Vincennes University Adult Education,Hedges School,716 Locust st,Mt Vernon,47620,(812) 480-8567,LKBell@Vinu.edu,https://my.vinu.edu/web/admissions/adult-basic-education.,M/T/TH 9AM-12PM
-87.8973,37.947321,Posey,Vincennes University Adult Education,Mt. Vernon General Baptist Church,1717 Main St.,Mt Vernon,47620,(812) 428-4408,,https://my.vinu.edu/web/admissions/adult-basic-education.,"By Phone: M-TH 9AM to 2:45PM, F - Hours vary"
-86.988941,38.169518,Spencer,Vincennes University Adult Education,Dale Presbyterian Church,6 n Main St.,Dale,47523,(812) 449-6835,LKBell@Vinu.edu,https://my.vinu.edu/web/admissions/adult-basic-education.,T/TH 5PM-7:30PM
-86.991148,38.170019,Spencer,Vincennes University Adult Education,ACE Academy - Vincennes University,105 E Hammond St.,Dale,47523,(812) 428-4408,,https://my.vinu.edu/web/admissions/adult-basic-education.,"M-TH 9AM to 3PM, F - Hours vary"
-87.554738,37.973761,Vanderburgh,Vincennes University Adult Education,Evansville WorkOne and Various locations in Evansville,700 E. Walnut St.,Evansville,47713,(812) 428-4408,LKBell@Vinu.edu,https://my.vinu.edu/web/admissions/adult-basic-education.,"Various AM,PM, Saturday Classes"
-87.574115,38.009343,Vanderburgh,The Literacy Center,The Literacy Center,3411 A 1st Av.,Evansville,47710,(812) 429-1222,,http://www.litcenter.org/,"M-TH 9AM to 6PM, F 9:30AM to 4PM"
-87.382901,37.990252,Warrick,Warrick Education Center,Warrick Education Center,3199 SR 261,Newburgh,47630,(812) 858-4309,,http://www.warrick.k12.in.us/schools/wec/,M-F 7:30AM to 3:15PM
